ParentLocation,Location,Period,Dim1,Dim2,Mortality Value,Mortality Value Low,Mortality Value High,Value
Americas,Canada,2003,Male,Diabetes mellitus,4016,3384,4746,4016 [3384-4746]
Americas,Canada,2003,Both sexes,Malignant neoplasms,66883,57189,75967,66883 [57189-75967]
Americas,Canada,2003,Female,Respiratory diseases,6925,4284,8626,6925 [4284-8626]
Americas,Canada,2003,Both sexes,Cardiovascular diseases,73397,61876,83809,73397 [61876-83809]
Americas,Canada,2003,Male,Respiratory diseases,8013,6599,9352,8013 [6599-9352]
Americas,Canada,2003,Both sexes,Diabetes mellitus,8028,6564,9615,8028 [6564-9615]
Americas,Canada,2002,Both sexes,Respiratory diseases,14502,10666,17337,14502 [10666-17337]
Americas,Canada,2002,Female,Malignant neoplasms,31088,26779,35411,31088 [26779-35411]
Americas,Canada,2002,Male,Malignant neoplasms,34892,29707,39497,34892 [29707-39497]
Americas,Canada,2002,Male,Cardiovascular diseases,36302,31939,40956,36302 [31939-40956]
Americas,Canada,2002,Female,Cardiovascular diseases,37439,30461,43023,37439 [30461-43023]
Americas,Canada,2002,Female,Diabetes mellitus,3952,3132,4791,3952 [3132-4791]
Americas,Canada,2002,Male,Diabetes mellitus,3977,3343,4699,3977 [3343-4699]
Americas,Canada,2002,Both sexes,Malignant neoplasms,65980,56487,74908,65980 [56487-74908]
Americas,Canada,2002,Female,Respiratory diseases,6667,4165,8259,6667 [4165-8259]
Americas,Canada,2002,Both sexes,Cardiovascular diseases,73741,62399,83979,73741 [62399-83979]
Americas,Canada,2002,Male,Respiratory diseases,7835,6501,9078,7835 [6501-9078]
Americas,Canada,2002,Both sexes,Diabetes mellitus,7929,6476,9490,7929 [6476-9490]
Americas,Canada,2001,Both sexes,Respiratory diseases,14278,10629,16995,14278 [10629-16995]
Americas,Canada,2001,Female,Malignant neoplasms,30158,25994,34322,30158 [25994-34322]
Americas,Canada,2001,Male,Malignant neoplasms,34510,29351,39015,34510 [29351-39015]
Americas,Canada,2001,Male,Diabetes mellitus,3466,2906,4104,3466 [2906-4104]
Americas,Canada,2001,Male,Cardiovascular diseases,36613,32292,41184,36613 [32292-41184]
Americas,Canada,2001,Female,Diabetes mellitus,3689,2927,4476,3689 [2927-4476]
Americas,Canada,2001,Female,Cardiovascular diseases,37332,30545,42782,37332 [30545-42782]
Americas,Canada,2001,Both sexes,Malignant neoplasms,64668,55345,73336,64668 [55345-73336]
Americas,Canada,2001,Female,Respiratory diseases,6512,4122,8043,6512 [4122-8043]
Americas,Canada,2001,Both sexes,Diabetes mellitus,7154,5833,8579,7154 [5833-8579]
Americas,Canada,2001,Both sexes,Cardiovascular diseases,73945,62836,83965,73945 [62836-83965]
Americas,Canada,2001,Male,Respiratory diseases,7767,6507,8952,7767 [6507-8952]
Americas,Canada,2000,Both sexes,Respiratory diseases,14291,10720,16937,14291 [10720-16937]
Americas,Canada,2000,Female,Malignant neoplasms,29647,25581,33684,29647 [25581-33684]
Americas,Canada,2000,Male,Diabetes mellitus,3341,2803,3965,3341 [2803-3965]
Americas,Canada,2000,Male,Malignant neoplasms,33781,28707,38095,33781 [28707-38095]
Americas,Canada,2000,Female,Diabetes mellitus,3419,2714,4155,3419 [2714-4155]
Americas,Canada,2000,Male,Cardiovascular diseases,37520,33191,42079,37520 [33191-42079]
Americas,Canada,2000,Female,Cardiovascular diseases,37878,31158,43226,37878 [31158-43226]
Americas,Canada,2000,Both sexes,Malignant neoplasms,63429,54288,71779,63429 [54288-71779]
Americas,Canada,2000,Female,Respiratory diseases,6457,4107,7954,6457 [4107-7954]
Americas,Canada,2000,Both sexes,Diabetes mellitus,6759,5518,8120,6759 [5518-8120]
Americas,Canada,2000,Both sexes,Cardiovascular diseases,75398,64349,85305,75398 [64349-85305]
Americas,Canada,2000,Male,Respiratory diseases,7834,6613,8983,7834 [6613-8983]
